event_id,created_datetime,start_datetime,resolved_datetime,closed_datetime,end_datetime,event_cause,sub_cause,description,comment,priority,requires_road_closure,corridor,zone,ward,junction,latitude,longitude,veh_type,veh_no,reported_by,source_channel,status,severity_reported,Pot_holes,water_logging,tree_fall,weather,rainfall_mm,temperature_c,lanes_blocked,num_vehicles_involved,injuries,fatalities,responder_unit,response_team_size,diversion_applied,signal_id,camera_id,district,police_station,contact_number,landmark,direction,updated_datetime,remarks
EVT-000000,2024-01-18T09:01:00+00:00,2024-01-18T09:01:00+00:00,,,,pot_holes,,pothole causing slowdown,,low,false,ORR East,Z5,W74,J312,13.078601,77.597458,,,officer,radio,open,low,1,0,0,clear,1.9,23.4,1,2,0,0,,0,false,SIG91,,Bengaluru,PS44,,,NB,2024-01-18T09:01:00+00:00,
EVT-000001,2023-11-30T21:45:00+00:00,2023-11-30T21:45:00+00:00,,,,water_logging,,water logging slowing traffic,,critical,false,Old Madras Road,Z5,W31,,13.055981,77.759928,,,officer,radio,open,high,0,1,0,rain,5.19,24.5,1,3,0,0,,1,false,SIG13,,Bengaluru,PS24,,,WB,2023-11-30T21:45:00+00:00,
EVT-000002,2023-12-05T07:03:00+00:00,2023-12-05T07:03:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,ORR East,Z7,W77,,13.037924,77.503323,two_wheeler,KA50AB1998,officer,radio,open,medium,0,0,0,rain,5.26,26.2,1,3,0,0,,3,false,SIG128,,Bengaluru,PS33,,,SB,2023-12-05T07:03:00+00:00,
EVT-000003,2024-03-07T15:14:00+00:00,2024-03-07T15:14:00+00:00,,,,pot_holes,,pothole causing slowdown,,low,false,ORR East,Z7,W112,,12.928146,77.469554,,,officer,radio,open,low,1,0,0,clear,0.00,24.6,0,2,0,0,,4,false,SIG36,,Bengaluru,PS14,,,SB,2024-03-07T15:14:00+00:00,
EVT-000004,2024-03-28T17:21:00+00:00,2024-03-28T17:21:00+00:00,,,,water_logging,,water logging slowing traffic,,low,false,Bellary Road,Z4,W162,,12.846587,77.487915,,,officer,radio,open,low,0,1,0,rain,5.75,22.4,0,3,0,0,,2,false,SIG118,,Bengaluru,PS8,,,WB,2024-03-28T17:21:00+00:00,
EVT-000005,2024-01-30T16:32:00+00:00,2024-01-30T16:32:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Hosur Road,Z3,W180,,12.917102,77.760445,truck,KA16AB7786,officer,radio,open,low,0,0,0,clear,0.00,28.2,0,3,0,0,,2,false,SIG121,,Bengaluru,PS14,,,NB,2024-01-30T16:32:00+00:00,
EVT-000006,2023-11-18T10:43:00+00:00,2023-11-18T10:43:00+00:00,,,,public_event,,public event procession,,low,false,ORR East,Z6,W62,,13.028456,77.486178,,,officer,radio,open,low,0,0,0,clear,2.43,26.5,0,2,0,0,,3,false,SIG7,,Bengaluru,PS9,,,SB,2023-11-18T10:43:00+00:00,
EVT-000007,2024-03-02T15:56:00+00:00,2024-03-02T15:56:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Mysore Road,Z8,W83,,12.863992,77.610864,truck,KA29AB6710,officer,radio,open,low,0,0,0,rain,5.81,27.2,0,2,0,0,,0,false,SIG94,,Bengaluru,PS27,,,SB,2024-03-02T15:56:00+00:00,
EVT-000008,2024-02-07T15:29:00+00:00,2024-02-07T15:29:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Tumkur Road,Z6,W24,,13.050828,77.698281,auto,KA17AB3206,officer,radio,open,low,0,0,0,clear,0.00,24.5,1,1,0,0,,4,false,SIG38,,Bengaluru,PS12,,,NB,2024-02-07T15:29:00+00:00,
EVT-000009,2023-12-27T02:26:00+00:00,2023-12-27T02:26:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Tumkur Road,Z2,W106,,13.127789,77.73642,bus,KA03AB0909,officer,radio,open,low,0,0,0,clear,1.76,26.5,1,3,0,0,,1,false,SIG147,,Bengaluru,PS6,,,EB,2023-12-27T02:26:00+00:00,
EVT-000010,2023-12-31T17:46:00+00:00,2023-12-31T17:46:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Hosur Road,Z7,W177,,13.013821,77.731114,truck,KA10AB0447,officer,radio,open,medium,0,0,0,clear,0.00,23.3,1,1,0,0,,4,false,SIG128,,Bengaluru,PS16,,,WB,2023-12-31T17:46:00+00:00,
EVT-000011,2024-04-18T02:54:00+00:00,2024-04-18T02:54:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Mysore Road,Z2,W172,,13.054305,77.500628,car,KA48AB4337,officer,radio,open,low,0,0,0,clear,0.00,27.5,0,1,0,0,,0,false,SIG66,,Bengaluru,PS48,,,SB,2024-04-18T02:54:00+00:00,
EVT-000012,2023-12-27T18:52:00+00:00,2023-12-27T18:52:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,Old Madras Road,Z4,W2,,13.110577,77.709352,two_wheeler,KA58AB4320,officer,radio,open,medium,0,0,0,clear,0.00,24.2,1,2,0,0,,4,false,SIG3,,Bengaluru,PS33,,,NB,2023-12-27T18:52:00+00:00,
EVT-000013,2024-01-23T19:18:00+00:00,2024-01-23T19:18:00+00:00,,,,water_logging,,water logging slowing traffic,,medium,false,Magadi Road,Z3,W90,,12.908632,77.691264,,,officer,radio,open,low,0,1,0,clear,1.43,31.5,0,3,0,0,,0,false,SIG145,,Bengaluru,PS4,,,SB,2024-01-23T19:18:00+00:00,
EVT-000014,2024-02-16T14:13:00+00:00,2024-02-16T14:13:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Magadi Road,Z6,W11,,12.855481,77.643255,truck,KA31AB6806,officer,radio,open,low,0,0,0,clear,1.2,26.5,0,3,0,0,,1,false,SIG162,,Bengaluru,PS25,,,EB,2024-02-16T14:13:00+00:00,
EVT-000015,2024-04-07T09:01:00+00:00,2024-04-07T09:01:00+00:00,,,,water_logging,,water logging slowing traffic,,low,false,Mysore Road,Z3,W177,,12.855069,77.746701,,,officer,radio,open,low,0,1,0,clear,0.00,20.8,0,1,0,0,,4,false,SIG139,,Bengaluru,PS40,,,WB,2024-04-07T09:01:00+00:00,
EVT-000016,2024-02-13T20:45:00+00:00,2024-02-13T20:45:00+00:00,,,,others,,incident reported,,high,false,Magadi Road,Z7,W77,,12.917274,77.503328,,,officer,radio,open,low,0,0,0,rain,10.83,20.7,1,1,0,0,,2,false,SIG100,,Bengaluru,PS12,,,SB,2024-02-13T20:45:00+00:00,
EVT-000017,2024-01-06T12:28:00+00:00,2024-01-06T12:28:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Tumkur Road,Z8,W169,,13.073274,77.625144,bus,KA46AB6328,officer,radio,open,medium,0,0,0,rain,12.39,23.9,1,1,0,0,,3,false,SIG6,,Bengaluru,PS10,,,EB,2024-01-06T12:28:00+00:00,
EVT-000018,2024-03-05T18:12:00+00:00,2024-03-05T18:12:00+00:00,,,,water_logging,,water logging slowing traffic,,low,false,Mysore Road,Z8,W81,,13.070583,77.753268,,,officer,radio,open,low,0,1,0,clear,1.6,26.1,1,2,0,0,,3,false,SIG97,,Bengaluru,PS3,,,NB,2024-03-05T18:12:00+00:00,
EVT-000019,2023-11-24T09:51:00+00:00,2023-11-24T09:51:00+00:00,,,,accident,,"accident reported, vehicles involved",,medium,false,Mysore Road,Z2,W185,,12.87396,77.48719,,,officer,radio,open,medium,0,0,0,rain,11.7,27.1,1,3,1,0,,4,false,SIG127,,Bengaluru,PS11,,,EB,2023-11-24T09:51:00+00:00,
EVT-000020,2024-03-27T21:32:00+00:00,2024-03-27T21:32:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Kanakapura Road,Z4,W26,,13.111481,77.701893,two_wheeler,KA44AB6126,officer,radio,open,low,0,0,0,rain,8.0,26.0,1,2,0,0,,3,false,SIG162,,Bengaluru,PS1,,,EB,2024-03-27T21:32:00+00:00,
EVT-000021,2023-12-20T01:04:00+00:00,2023-12-20T01:04:00+00:00,2023-12-20T03:01:51.114802+00:00,,,others,,incident reported,,low,false,Mysore Road,Z4,W59,,12.968271,77.553597,,,officer,radio,resolved,low,0,0,0,rain,9.86,27.6,1,3,0,0,,3,false,SIG90,,Bengaluru,PS6,,,SB,2023-12-20T01:04:00+00:00,
EVT-000022,2024-04-29T11:07:00+00:00,2024-04-29T11:07:00+00:00,,,,tree_fall,,tree fallen across carriageway,,low,false,Bellary Road,Z2,W170,,13.104085,77.663443,,,officer,radio,open,low,0,0,1,rain,5.18,25.2,0,3,0,0,,0,false,SIG1,,Bengaluru,PS8,,,NB,2024-04-29T11:07:00+00:00,
EVT-000023,2024-04-23T08:05:00+00:00,2024-04-23T08:05:00+00:00,,,,accident,,"accident reported, vehicles involved",,low,false,Magadi Road,Z4,W8,,12.876228,77.616405,,,officer,radio,open,medium,0,0,0,rain,8.54,30.1,0,2,1,0,,0,false,SIG140,,Bengaluru,PS22,,,NB,2024-04-23T08:05:00+00:00,
EVT-000024,2023-11-03T20:24:00+00:00,2023-11-03T20:24:00+00:00,,,,accident,,"accident reported, vehicles involved",,critical,false,Bellary Road,Z4,W141,,12.866599,77.516895,,,officer,radio,open,high,0,0,0,clear,4.85,22.8,0,2,1,0,,2,false,SIG129,,Bengaluru,PS13,,,EB,2023-11-03T20:24:00+00:00,
